Prog_Id,num_contrato,Prog_Del,Prog_Al,Prog_Monto
949,SIDUR-ED-16-062.174,20160607,20160617,42184.01
950,SIDUR-ED-16-067.166,20160418,20160430,88310.03
951,SIDUR-ED-16-067.166,20160501,20160515,31192.34
952,SIDUR-ED-16-067.166,20160516,20160531,35260.39
953,SIDUR-ED-16-067.166,20160601,20160615,32548.04
954,SIDUR-ED-16-067.166,20160616,20160701,25814.89
955,SIDUR-ED-16-068.165,20160420,20160519,113453.25
956,SIDUR-ED-16-068.165,20160520,20160619,71879.51
957,SIDUR-ED-16-068.165,20160620,20160718,94570.17
958,SIDUR-ED-16-069.169,20160420,20160430,76790.02
959,SIDUR-ED-16-069.169,20160501,20160531,26231.36
960,SIDUR-ED-16-069.169,20160601,20160618,37574.76
961,SIDUR-ED-16-070.171,20160420,20160430,76745.22
962,SIDUR-ED-16-070.171,20160501,20160531,39665.97
963,SIDUR-ED-16-070.171,20160601,20160618,51001.76
964,SIDUR-ED-16-071.156,20160420,20160519,17317.74
965,SIDUR-ED-16-071.156,20160520,20160618,269291.21
966,SIDUR-ED-16-074.157,20160428,20160430,80967.24
967,SIDUR-ED-16-074.157,20160501,20160531,92225.58
968,SIDUR-ED-16-074.157,20160601,20160626,30331.28
969,SIDUR-ED-16-075.158,20160428,20160430,112180.78
970,SIDUR-ED-16-075.158,20160501,20160531,125858.21
971,SIDUR-ED-16-075.158,20160601,20160626,41577.49
972,SIDUR-ED-16-076.159,20160506,20160512,35345.26
973,SIDUR-ED-16-076.159,20160513,20160519,54865.19
974,SIDUR-ED-16-076.159,20160520,20160526,47044.54
975,SIDUR-ED-16-076.159,20160527,20160602,39236.81
976,SIDUR-ED-16-076.159,20160603,20160609,17355.22
977,SIDUR-ED-16-076.159,20160610,20160616,17355.22
978,SIDUR-ED-16-076.159,20160617,20160623,32777.11
979,SIDUR-ED-16-076.159,20160624,20160630,12382
980,SIDUR-ED-16-076.159,20160701,20160704,2745.17
981,SIDUR-ED-16-077.160,20160428,20160430,11735.84
982,SIDUR-ED-16-077.160,20160501,20160531,154046.42
983,SIDUR-ED-16-077.160,20160601,20160626,99943.66
984,SIDUR-ED-16-078.161,20160406,20160412,43563.36
985,SIDUR-ED-16-078.161,20160413,20160419,49371.8
986,SIDUR-ED-16-078.161,20160420,20160426,197487.25
987,SIDUR-ED-16-080.163,20160502,20160508,126987.29
988,SIDUR-ED-16-080.163,20160509,20160515,21991.93
989,SIDUR-ED-16-080.163,20160516,20160522,37073.17
990,SIDUR-ED-16-080.163,20160523,20160531,27415.72
991,SIDUR-ED-16-081.175,20160502,20160508,142191.92
992,SIDUR-ED-16-081.175,20160509,20160515,22654.1
993,SIDUR-ED-16-081.175,20160516,20160522,38189.43
994,SIDUR-ED-16-081.175,20160523,20160531,28241.19
995,SIDUR-ED-16-082.162,20160502,20160531,84657.79
996,SIDUR-ED-16-082.162,20160601,20160630,130526.21
1001,SIDUR-ED-16-083.176,20160502,20160508,23953.61
1003,SIDUR-ED-16-083.176,20160509,20160515,87425.45
1004,SIDUR-ED-16-083.176,20160516,20160522,86797.42
1007,SIDUR-ED-16-083.176,20160523,20160531,13057.15
1008,SIDUR-ED-16-084.177,20160502,20160508,23662.02
1009,SIDUR-ED-16-084.177,20160509,20160515,82384.17
1010,SIDUR-ED-16-084.177,20160516,20160522,81763.78
1011,SIDUR-ED-16-084.177,20160523,20160531,12898.18
1012,SIDUR-ED-16-085.183,20160502,20160508,34853.16
1016,SIDUR-ED-16-085.183,20160509,20160516,43146.81
1025,SIDUR-ED-16-086.180,20160504,20160531,112378.6
1026,SIDUR-ED-16-086.180,20160601,20160630,126932.31
1027,SIDUR-ED-16-086.180,20160701,20160702,7501.91
1028,SIDUR-ED-16-087.181,20160504,20160531,68566.49
1029,SIDUR-ED-16-087.181,20160601,20160702,73590.59
1030,SIDUR-ED-16-088.187,20160504,20160509,24739.39
1031,SIDUR-ED-16-088.187,20160510,20160516,124964.92
1032,SIDUR-ED-16-088.187,20160517,20160523,96147.51
1033,SIDUR-ED-16-089.188,20160504,20160508,38273.58
1034,SIDUR-ED-16-089.188,20160509,20160515,112416.6
1036,SIDUR-ED-16-089.188,20160516,20160522,131696.43
